timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
1437793268,1437792162,-0.0129514,0.00240283,-4.91598e-05,0.08,0.0,0.0,0.0,-1.0
1437796189,1437795176,-0.012405,0.00218233,-6.09274e-05,0.08,0.0,0.0,0.0,-1.0
1437801296,1437800117,-0.0131026,0.00191099,-7.02673e-05,0.08,0.0,0.0,0.0,-1.0
1437804248,1437803147,-0.0123652,0.00209605,-4.15631e-05,0.08,0.0,0.0,0.0,-1.0
1437807301,1437806033,-0.0127216,0.00176444,-9.20925e-05,0.08,0.0,0.0,0.0,-1.0
1437811250,1437810108,-0.0129029,0.00151822,-4.18171e-05,0.08,0.0,0.0,0.0,-1.0
1437815184,1437814088,-0.0127636,0.00220596,-7.47323e-05,0.08,0.0,0.0,0.0,-1.0
1437818202,1437817111,-0.0125216,0.00235688,-4.48287e-06,0.08,0.0,0.0,0.0,-1.0
1437821389,1437820147,-0.0130918,0.00165272,-2.91521e-05,0.08,0.0,0.0,0.0,-1.0
1437825235,1437824097,-0.0126696,0.00234144,-1.94824e-05,0.08,0.0,0.0,0.0,-1.0
1437828255,1437827089,-0.0127839,0.00174104,-4.77916e-05,0.08,0.0,0.0,0.0,-1.0
1437832429,1437831276,-0.0125427,0.00211755,-2.38306e-06,0.08,0.0,0.0,0.0,-1.0
1437836212,1437835147,-0.0128501,0.00192218,-6.29034e-05,0.08,0.0,0.0,0.0,-1.0
1437839257,1437838175,-0.0125098,0.00229742,-3.15362e-05,0.08,0.0,0.0,0.0,-1.0
1437842191,1437841091,-0.012552,0.00220319,-4.34094e-05,0.08,0.0,0.0,0.0,-1.0
1437844338,1437843223,-0.01275,0.00228738,2.02821e-06,0.08,0.0,0.0,0.0,-1.0
1437850249,1437849043,-0.0130395,0.00210249,-3.77453e-05,0.08,0.0,0.0,0.0,-1.0
1437853231,1437852168,-0.0126272,0.00220852,-4.79238e-05,0.08,0.0,0.0,0.0,-1.0
1437857301,1437856201,-0.013093,0.00237697,-9.32404e-05,0.08,0.0,0.0,0.0,-1.0
1437860230,1437859278,-0.0122246,0.00194296,-5.73813e-05,0.08,0.0,0.0,0.0,-1.0
1437864225,1437863122,-0.012765,0.00198519,-4.17176e-05,0.08,0.0,0.0,0.0,-1.0
1437867237,1437866122,-0.0124048,0.00188097,-1.62094e-05,0.08,0.0,0.0,0.0,-1.0
1437871216,1437870104,-0.0128526,0.00154799,-6.40998e-05,0.08,0.0,0.0,0.0,-1.0
1437874243,1437873121,-0.0125456,0.00162824,-3.77368e-05,0.08,0.0,0.0,0.0,-1.0
1437877248,1437876229,-0.0128392,0.00183246,-4.23259e-05,0.08,0.0,0.0,0.0,-1.0
1437881244,1437880115,-0.0124297,0.00186973,-5.08547e-05,0.08,0.0,0.0,0.0,-1.0
1437885201,1437884084,-0.0125946,0.00232603,-4.41433e-05,0.08,0.0,0.0,0.0,-1.0
1437888176,1437887168,-0.0126289,0.00188252,-2.91166e-05,0.08,0.0,0.0,0.0,-1.0
1437892171,1437891119,-0.0126741,0.00260481,-4.06596e-05,0.08,0.0,0.0,0.0,-1.0
1437895228,1437894125,-0.0124967,0.00131233,-2.62138e-05,0.08,0.0,0.0,0.0,-1.0
1437899237,1437898117,-0.0130248,0.00275083,-3.70255e-05,0.08,0.0,0.0,0.0,-1.0
1437902381,1437901129,-0.0124894,0.00183619,-3.99933e-05,0.08,0.0,0.0,0.0,-1.0
1437906199,1437905119,-0.0124649,0.00238708,-2.04771e-05,0.08,0.0,0.0,0.0,-1.0
1437909299,1437908089,-0.0123132,0.00187453,-7.45572e-06,0.08,0.0,0.0,0.0,-1.0
1437913255,1437912145,-0.0126962,0.00213766,-5.44572e-05,0.08,0.0,0.0,0.0,-1.0
1437916239,1437915123,-0.0126403,0.00143021,-5.59296e-05,0.08,0.0,0.0,0.0,-1.0
1437920224,1437919168,-0.0127554,0.00301308,-3.22028e-05,0.08,0.0,0.0,0.0,-1.0
1437923247,1437922151,-0.0123533,0.00124874,-3.28904e-05,0.08,0.0,0.0,0.0,-1.0
1437926183,1437925140,-0.0125399,0.00281355,-4.67796e-05,0.08,0.0,0.0,0.0,-1.0
1437930225,1437929127,-0.0128995,0.00155102,-2.06106e-05,0.08,0.0,0.0,0.0,-1.0
1437934327,1437933109,-0.012647,0.00187207,-3.55576e-05,0.08,0.0,0.0,0.0,-1.0
1437937273,1437936166,-0.012952,0.00200526,-4.54303e-05,0.08,0.0,0.0,0.0,-1.0
1437941229,1437940308,-0.0125172,0.00238895,-6.2196e-05,0.08,0.0,0.0,0.0,-1.0
