timestamp,x_acc,y_acc,z_acc,x_vel,y_vel,z_vel,x_pos,y_pos,z_pos,airspeed,vel_variance[0],vel_variance[1],vel_variance[2],pos_variance[0],pos_variance[1],pos_variance[2],q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],roll_rate,pitch_rate,yaw_rate,horz_acc_mag,roll_rate_bias,pitch_rate_bias,yaw_rate_bias,airspeed_valid,quat_reset_counter
1438360155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887979,0.00808865,0.00303011,0.459803,0.0,0.0,0.0,0.0,0.00254206,0.00765146,0.00445932,0.0,0.0,0.0,0.0,0,0
1438382067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887981,0.00807211,0.00302764,0.4598,0.0,0.0,0.0,0.0,0.00268722,0.000411474,0.00421073,0.0,0.0,0.0,0.0,0,0
1438403128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887996,0.00804566,0.00302507,0.459771,0.0,0.0,0.0,0.0,-0.00300989,-0.00134784,0.00283414,0.0,0.0,0.0,0.0,0,0
1438424145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.888002,0.00803495,0.00301808,0.459759,0.0,0.0,0.0,0.0,0.00152024,-0.00430154,0.00289034,0.0,0.0,0.0,0.0,0,0
1438445177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.888004,0.00801012,0.00300212,0.459757,0.0,0.0,0.0,0.0,-0.00326592,-0.00235879,0.00294144,0.0,0.0,0.0,0.0,0,0
1438466089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.888003,0.00798835,0.00299788,0.459758,0.0,0.0,0.0,0.0,-0.0016644,0.000903493,0.00583955,0.0,0.0,0.0,0.0,0,0
1438487047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.888004,0.00797203,0.00299343,0.459757,0.0,0.0,0.0,0.0,-0.00135281,-0.00146615,0.00136796,0.0,0.0,0.0,0.0,0,0
1438507140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88799,0.00793544,0.00299885,0.459786,0.0,0.0,0.0,0.0,0.0354449,0.0196,-0.00523239,0.0,0.0,0.0,0.0,0,0
1438529066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88799,0.00789697,0.00305697,0.459785,0.0,0.0,0.0,0.0,-0.11002,-0.0711301,-0.00925757,0.0,0.0,0.0,0.0,0,0
1438549167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887989,0.00788383,0.00311813,0.459786,0.0,0.0,0.0,0.0,0.122746,0.110758,-0.0441523,0.0,0.0,0.0,0.0,0,0
