timestamp,noutputs,output[0],output[1],output[2],output[3],output[4],output[5],output[6],output[7],output[8],output[9],output[10],output[11],output[12],output[13],output[14],output[15]
1446214187,4,-0.323931,-0.389911,-0.546102,-0.529985,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1446266234,4,-0.281627,-0.433974,-0.478968,-0.503551,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1446319250,4,-0.365334,-0.354583,-0.2786,-0.554866,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1446371218,4,-0.273929,-0.430605,-0.315154,-0.332626,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1446424200,4,-0.212736,-0.425234,-0.278583,-0.202306,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1446476328,4,-0.29637,-0.287852,-0.160199,-0.179064,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1446529262,4,-0.25583,-0.32751,-0.129418,-0.147533,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1446582196,4,-0.218556,-0.373054,-0.16961,-0.0854127,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1446634169,4,-0.406152,-0.225748,-0.0498885,-0.229151,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1446687208,4,-0.167765,-0.494733,-0.240688,-0.0831923,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1446739162,4,-0.326829,-0.47778,-0.204892,-0.223894,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1446792177,4,-0.513127,-0.291739,-0.159739,-0.422528,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1446844283,4,-0.2924,-0.450633,-0.453399,-0.340843,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1446896214,4,-0.397098,-0.248273,-0.528335,-0.508815,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1446949202,4,-0.347294,-0.231012,-0.732128,-0.479897,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1447002181,4,-0.346764,-0.238126,-0.769063,-0.525023,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1447054191,4,-0.311546,-0.311883,-0.608939,-0.606003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1447106258,4,-0.340048,-0.29054,-0.353588,-0.58897,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1447159231,4,-0.464704,-0.153387,-0.267606,-0.420716,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1447212202,4,-0.230465,-0.366922,-0.277335,-0.17417,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1447264121,4,-0.326192,-0.250115,-0.108642,-0.179338,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1447317222,4,-0.223524,-0.341432,-0.112072,-0.08937,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1447369263,4,-0.276557,-0.291106,-0.116552,-0.0347253,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1447421201,4,-0.353346,-0.30325,0.011229,-0.148098,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1447474476,4,-0.341108,-0.337094,-0.0520879,-0.115864,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1447526314,4,-0.381494,-0.305365,-0.0340207,-0.239018,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1447579281,4,-0.412645,-0.300532,-0.140291,-0.25745,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1447630178,4,-0.404582,-0.353733,-0.177717,-0.415861,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1447684188,4,-0.35045,-0.436467,-0.420782,-0.361139,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
