timestamp,x,y,z,yaw,vx,vy,vz,acc_x,acc_y,acc_z
1456934969,-8.9153,-12.0164,0.644603,0.981236,0.0433407,-0.117783,1.0,-0.0573106,-0.0751447,-2.82574
1456945122,-8.9153,-12.0164,0.646864,0.981236,0.0426788,-0.117838,1.0,-0.0538837,-0.0765821,-2.82658
1456955411,-8.9153,-12.0164,0.649112,0.981236,0.0421162,-0.117949,1.0,-0.0446201,-0.0803187,-2.8235
1456965600,-8.9153,-12.0164,0.651326,0.981236,0.041605,-0.118103,1.0,-0.0345114,-0.0877786,-2.81032
1456975742,-8.9153,-12.0164,0.653585,0.981236,0.0411835,-0.118294,1.0,-0.0278174,-0.0912833,-2.82139
1456985907,-8.9153,-12.0164,0.655753,0.981236,0.0408077,-0.118538,1.0,-0.021287,-0.0977007,-2.80808
1456996074,-8.9153,-12.0164,0.657983,0.981236,0.0405293,-0.118843,1.0,-0.0108216,-0.105197,-2.81117
1457006349,-8.9153,-12.0164,0.661198,0.981236,0.0401325,-0.119314,1.0,-0.00470951,-0.108733,-2.80398
1457016548,-8.9153,-12.0164,0.663393,0.981236,0.0397911,-0.119576,1.0,-0.0146814,-0.102901,-2.79578
1457026694,-8.9153,-12.0164,0.66556,0.981236,0.0393124,-0.119745,1.0,-0.0305622,-0.0913999,-2.80251
1457036848,-8.9153,-12.0164,0.667771,0.981236,0.0387516,-0.119839,1.0,-0.0413391,-0.0839895,-2.80482
1457046994,-8.9153,-12.0164,0.668547,0.981236,0.0351505,-0.11528,1.0,-0.0546219,-0.0662497,-2.78963
1457057146,-8.9153,-12.0164,0.670629,0.981236,0.0344296,-0.115171,1.0,-0.0633732,-0.0569314,-2.77518
1457067402,-8.9153,-12.0164,0.672723,0.981236,0.0337181,-0.115067,1.0,-0.0644791,-0.0545129,-2.77277
1457077551,-8.9153,-12.0164,0.674766,0.981236,0.0329819,-0.114981,1.0,-0.0663754,-0.0575399,-2.76851
1457087712,-8.9153,-12.0164,0.676871,0.981236,0.0322838,-0.114904,1.0,-0.0638109,-0.0592792,-2.7736
1457097851,-8.9153,-12.0164,0.678885,0.981236,0.0315895,-0.114855,1.0,-0.0632389,-0.0618125,-2.76359
1457108000,-8.9153,-12.0164,0.680956,0.981236,0.0309868,-0.114866,1.0,-0.0541501,-0.0686508,-2.765
1457118156,-8.9153,-12.0164,0.682937,0.981236,0.0304203,-0.114916,1.0,-0.0482935,-0.0746485,-2.75108
1457128361,-8.9153,-12.0164,0.682092,0.981236,0.0333862,-0.119234,1.0,-0.0384257,-0.0835738,-2.72267
1457138518,-8.9153,-12.0164,0.68388,0.981236,0.0329342,-0.119381,1.0,-0.0340687,-0.0878887,-2.70017
1457148680,-8.9153,-12.0164,0.685651,0.981236,0.0323753,-0.119507,1.0,-0.0440568,-0.0857991,-2.694
1457158852,-8.9153,-12.0164,0.687425,0.981236,0.0317268,-0.119585,1.0,-0.0546019,-0.0818179,-2.6944
1457169015,-8.9153,-12.0164,0.689233,0.981236,0.0310135,-0.119612,1.0,-0.0639605,-0.0760486,-2.69725
1457179185,-8.9153,-12.0164,0.691066,0.981236,0.030302,-0.119669,1.0,-0.0662477,-0.0761318,-2.70731
1457189384,-8.9153,-12.0164,0.692937,0.981236,0.0295639,-0.119711,1.0,-0.0683231,-0.0780453,-2.70794
1457199540,-8.9153,-12.0164,0.694833,0.981236,0.0288448,-0.119825,1.0,-0.067637,-0.0826924,-2.72029
1457209699,-8.9153,-12.0164,0.696793,0.981236,0.0258217,-0.118313,1.0,-0.0703465,-0.0828535,-2.70996
1457219867,-8.9153,-12.0164,0.698641,0.981236,0.0251102,-0.118458,1.0,-0.0696286,-0.0854216,-2.70813
1457230033,-8.9153,-12.0164,0.700519,0.981236,0.0243931,-0.118584,1.0,-0.0678345,-0.0879167,-2.70873
1457240202,-8.9153,-12.0164,0.702396,0.981236,0.0236931,-0.118771,1.0,-0.0676966,-0.0921219,-2.71179
1457250451,-8.9153,-12.0164,0.704286,0.981236,0.0230141,-0.118973,1.0,-0.0661469,-0.0951988,-2.70914
1457260618,-8.9153,-12.0164,0.70622,0.981236,0.0222816,-0.119165,1.0,-0.072107,-0.0943492,-2.72175
1457270785,-8.9153,-12.0164,0.708171,0.981236,0.0214882,-0.119335,1.0,-0.077793,-0.0922488,-2.72931
1457280963,-8.9153,-12.0164,0.710229,0.981236,0.020628,-0.119453,1.0,-0.0870072,-0.0879876,-2.74276
1457291124,-8.9153,-12.0164,0.712294,0.981236,0.0197392,-0.119593,1.0,-0.0916808,-0.0875788,-2.7564
1457301379,-8.9153,-12.0164,0.714457,0.981236,0.0188866,-0.11972,1.0,-0.0888607,-0.0883264,-2.76247
1457311559,-8.9153,-12.0164,0.716676,0.981236,0.0225353,-0.124361,1.0,-0.0730379,-0.0937829,-2.76879
1457321729,-8.9153,-12.0164,0.718781,0.981236,0.0218544,-0.124557,1.0,-0.0650361,-0.0982993,-2.76488
1457331893,-8.9153,-12.0164,0.720969,0.981236,0.0211868,-0.124743,1.0,-0.0644986,-0.0973711,-2.77366
1457342056,-8.9153,-12.0164,0.723197,0.981236,0.0205383,-0.124922,1.0,-0.0631857,-0.0963247,-2.78929
1457352219,-8.9153,-12.0164,0.725475,0.981236,0.0198994,-0.125097,1.0,-0.0622057,-0.0966344,-2.79478
1457362383,-8.9153,-12.0164,0.7278,0.981236,0.0192966,-0.12529,1.0,-0.0586703,-0.0972682,-2.80911
1457372591,-8.9153,-12.0164,0.730118,0.981236,0.0187168,-0.125498,1.0,-0.0557252,-0.10012,-2.80667
1457382785,-8.9153,-12.0164,0.732512,0.981236,0.0182095,-0.125731,1.0,-0.0481047,-0.103423,-2.81925
1457392958,-8.9153,-12.0164,0.734868,0.981236,0.0177727,-0.126013,1.0,-0.0398724,-0.109327,-2.8192
1457403128,-8.9153,-12.0164,0.73516,0.981236,0.0157452,-0.125814,1.0,-0.0426076,-0.108985,-2.80978
1457413309,-8.9153,-12.0164,0.737408,0.981236,0.0152874,-0.126091,1.0,-0.042171,-0.109758,-2.79307
1457423548,-8.9153,-12.0164,0.739684,0.981236,0.0148277,-0.126389,1.0,-0.0428646,-0.110891,-2.78636
1457433716,-8.9153,-12.0164,0.741919,0.981236,0.0142975,-0.126631,1.0,-0.0500437,-0.107328,-2.78636
1457443876,-8.9153,-12.0164,0.744164,0.981236,0.0137081,-0.126856,1.0,-0.0591691,-0.103532,-2.78118
1457454036,-8.9153,-12.0164,0.746438,0.981236,0.0131149,-0.127069,1.0,-0.0598646,-0.102122,-2.79169
1457464285,-8.9153,-12.0164,0.748686,0.981236,0.0125408,-0.127291,1.0,-0.057543,-0.104347,-2.78445
1457474534,-8.9153,-12.0164,0.750996,0.981236,0.0120487,-0.127563,1.0,-0.0499199,-0.108018,-2.78657
1457484687,-8.9153,-12.0164,0.753236,0.981236,0.0115871,-0.12785,1.0,-0.0452886,-0.112428,-2.78428
1457494839,-8.9153,-12.0164,0.75549,0.981236,0.0111694,-0.128174,1.0,-0.0399292,-0.115463,-2.78192
1457505007,-8.9153,-12.0164,0.757619,0.981236,0.0139942,-0.130877,1.0,-0.0239449,-0.124918,-2.75801
1457515171,-8.9153,-12.0164,0.759695,0.981236,0.013689,-0.131281,1.0,-0.0238955,-0.127859,-2.73875
1457525453,-8.9153,-12.0164,0.76175,0.981236,0.0133114,-0.131638,1.0,-0.0328328,-0.122749,-2.73343
1457535652,-8.9153,-12.0164,0.763801,0.981236,0.0128498,-0.131916,1.0,-0.0416382,-0.115415,-2.72407
1457545813,-8.9153,-12.0164,0.765836,0.981236,0.0124664,-0.132277,1.0,-0.0351075,-0.121121,-2.72727
1457555991,-8.9153,-12.0164,0.767839,0.981236,0.0120258,-0.132568,1.0,-0.0397121,-0.118011,-2.71439
1457566172,-8.9153,-12.0164,0.769786,0.981236,0.0116215,-0.132908,1.0,-0.0407815,-0.11782,-2.70866
1457576493,-8.9153,-12.0164,0.771769,0.981236,0.0112438,-0.133213,1.0,-0.033836,-0.118996,-2.69937
1457586657,-8.9153,-12.0164,0.773703,0.981236,0.0108509,-0.133543,1.0,-0.0357508,-0.119443,-2.70363
1457596827,-8.9153,-12.0164,0.775693,0.981236,0.0104656,-0.13386,1.0,-0.0375593,-0.118945,-2.7059
